action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,33425,[],CHEMBL763559,Concentration required for maximal in vitro inhibition of aggregation of human platelet rich plasma (hPRP),F,,,BAO_0000190,BAO_0000218,organism-based format,CCCCCNC(=N)c1ccc(C2=NOC(CC(=O)NCCC(=O)O)C2)cc1,,,CHEMBL1133917,Bioorg Med Chem Lett,2001,,CHEMBL70685,,CHEMBL70685,6.52,0,http://www.openphacts.org/units/Nanomolar,123883,=,1,1,=,,IC50,nM,,300.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.3
,,33494,[],CHEMBL701320,Inhibition of LPS-stimulated TNF-alpha production in human whole blood,F,,,BAO_0000190,BAO_0000218,organism-based format,COc1ccc([C@H](Cc2ccncc2)c2ccsc2)cc1OC1CCCC1,,,CHEMBL1135122,Bioorg Med Chem Lett,2002,,CHEMBL286998,,CHEMBL286998,4.93,0,http://www.openphacts.org/units/Nanomolar,52327,=,1,1,=,,IC50,nM,,11800.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,11.8
,,33537,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.O=S(=O)(CCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(Cc2ccc(F)cc2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203030,,CHEMBL320999,10.17,0,http://www.openphacts.org/units/Nanomolar,208542,=,1,1,=,,IC50,nM,,0.067,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.067
,,33539,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)CN1CCC(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203087,,CHEMBL111687,10.57,0,http://www.openphacts.org/units/Nanomolar,208568,=,1,1,=,,IC50,nM,,0.027,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.027
,,33552,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,c1ccc(C(CC2CCCCC2)Nc2nc3ccccc3o2)cc1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL173924,,CHEMBL173924,6.47,0,http://www.openphacts.org/units/Nanomolar,341189,=,1,1,=,,IC50,nM,,340.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.34
,,33553,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)c1ccc2oc(NC(Cc3ccc(Cl)cc3)c3ccccn3)nc2c1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL354620,,CHEMBL354620,7.54,0,http://www.openphacts.org/units/Nanomolar,341218,=,1,1,=,,IC50,nM,,29.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.029
,,34743,[],CHEMBL841606,The compound was evaluated for reduction of ADP-induced human platelet aggregation response by 50% using PRP assay,F,,,BAO_0000190,BAO_0000218,organism-based format,O=C(O)CC1CCc2cc(NC(=O)/C=C/C3CCNCC3)ccc2C1=O,,,CHEMBL1133397,Bioorg Med Chem Lett,2000,,CHEMBL126365,,CHEMBL126365,6.44,0,http://www.openphacts.org/units/Nanomolar,242479,=,1,1,=,,IC50,nM,,360.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.36
,,34772,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CC2CCCCO2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203058,,CHEMBL113267,9.8,0,http://www.openphacts.org/units/Nanomolar,208520,=,1,1,=,,IC50,nM,,0.16,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.16
,,34774,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCC(N2CCCCC2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203072,,CHEMBL111528,8.01,0,http://www.openphacts.org/units/Nanomolar,208586,=,1,1,=,,IC50,nM,,9.86,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,9.86
,,34776,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,CCOC(=O)N1CCC(n2nnnc2CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL113499,,CHEMBL113499,9.38,0,http://www.openphacts.org/units/Nanomolar,208564,=,1,1,=,,IC50,nM,,0.42,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.42
,,34779,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,CCC(CC)CN1CCC(n2nnnc2CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203039,,CHEMBL111437,10.92,0,http://www.openphacts.org/units/Nanomolar,208557,=,1,1,=,,IC50,nM,,0.012,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.012
,,34791,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)c1ccc2oc(N[C@H](CN3CCCCC3)c3ccccc3)nc2c1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL2110252,,CHEMBL2110252,5.92,0,http://www.openphacts.org/units/Nanomolar,341213,=,1,1,=,,IC50,nM,,1200.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,1.2
,,35526,[],CHEMBL697813,The antiplatelet activity was tested by the turbidimetric method in washed human platelets using thrombin as agonist.,F,,,BAO_0000190,BAO_0000218,organism-based format,COC(=O)/C=C/c1cc(O)nnc1-c1ccccc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1146821,Bioorg Med Chem Lett,2004,,CHEMBL322552,,CHEMBL322552,,0,http://www.openphacts.org/units/Nanomolar,207228,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,1000.0
,,36008,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(c2nc3ccccc3s2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203075,,CHEMBL111842,8.31,0,http://www.openphacts.org/units/Nanomolar,208581,=,1,1,=,,IC50,nM,,4.88,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,4.88
,,36011,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.Oc1nc2cc3cc(OCCCc4nnnn4C4CCN(Cc5ccccc5)CC4)ccc3[nH]c-2n1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203031,,CHEMBL111317,10.41,0,http://www.openphacts.org/units/Nanomolar,208553,=,1,1,=,,IC50,nM,,0.039,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.039
,,36016,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.Oc1nc2cc3cc(OCCCc4nnnn4C4CCN(CC5CCCCCC5)CC4)ccc3[nH]c-2n1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203033,,CHEMBL109399,10.77,0,http://www.openphacts.org/units/Nanomolar,208545,=,1,1,=,,IC50,nM,,0.017,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.017
,,36018,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,CCCC(CCC)CN1CCC(n2nnnc2CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203041,,CHEMBL111445,10.09,0,http://www.openphacts.org/units/Nanomolar,208555,=,1,1,=,,IC50,nM,,0.082,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.082
,,36021,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2ccc(F)cc2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203057,,CHEMBL113360,9.46,0,http://www.openphacts.org/units/Nanomolar,208526,=,1,1,=,,IC50,nM,,0.35,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.35
,,36029,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,CCCOCC(Cc1ccc(F)cc1)Nc1nc2cc(C(C)C)ccc2o1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL355706,,CHEMBL355706,6.77,0,http://www.openphacts.org/units/Nanomolar,341195,=,1,1,=,,IC50,nM,,170.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.17
,,36030,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,CCOC(=O)c1ccc2oc(NC(CC3CCCCC3)c3ccccc3)nc2c1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL174412,,CHEMBL174412,7.35,0,http://www.openphacts.org/units/Nanomolar,341211,=,1,1,=,,IC50,nM,,45.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.045
,,36031,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,N#Cc1ccc2oc(NC(CC3CCCCC3)c3ccccc3)nc2c1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL368751,,CHEMBL368751,7.82,0,http://www.openphacts.org/units/Nanomolar,341207,=,1,1,=,,IC50,nM,,15.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.015
,,36032,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,O=[N+]([O-])c1ccc2oc(NC(Cc3ccc(F)cc3)c3ccccn3)nc2c1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL174239,,CHEMBL174239,7.8,0,http://www.openphacts.org/units/Nanomolar,341233,=,1,1,=,,IC50,nM,,16.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.016
,,36600,[],CHEMBL699533,Concentration required to inhibit ADP-induced platelet aggregation by 50%,F,,,BAO_0000190,BAO_0000218,organism-based format,Br.Br.CCCCN(CCCC)C(=O)C1CCCN(Cc2ccc(CN3CCCC(C(=O)N(CCCC)CCCC)C3)cc2)C1,,,CHEMBL1125511,J Med Chem,1992,,CHEMBL544322,,CHEMBL1192990,4.23,0,http://www.openphacts.org/units/Nanomolar,186627,=,1,1,=,,IC50,nM,,58700.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,58.7
,,36735,[],CHEMBL697813,The antiplatelet activity was tested by the turbidimetric method in washed human platelets using thrombin as agonist.,F,,,BAO_0000190,BAO_0000218,organism-based format,C#Cc1cc(O)nnc1-c1ccccc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1146821,Bioorg Med Chem Lett,2004,,CHEMBL321431,,CHEMBL321431,,0,http://www.openphacts.org/units/Nanomolar,207211,=,1,1,=,,IC50,nM,,500000.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,500.0
,,37096,[],CHEMBL702324,Compound tested for the in vitro inhibition of TNF-alpha production was determined by using LPS-stimulated human whole blood assay (WBA),F,,,BAO_0000190,BAO_0000218,organism-based format,O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(COc2ccnc3ccccc23)cc1,,,CHEMBL1136470,Bioorg Med Chem Lett,2003,,CHEMBL343721,,CHEMBL343721,,0,http://www.openphacts.org/units/Nanomolar,261104,>,1,1,>,,IC50,nM,,50000.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,50.0
,,37102,[],CHEMBL702324,Compound tested for the in vitro inhibition of TNF-alpha production was determined by using LPS-stimulated human whole blood assay (WBA),F,,,BAO_0000190,BAO_0000218,organism-based format,O=C(NO)[C@H]1CCCC[C@@H]1C(=O)Nc1ccc(COc2ccc3ncccc3c2)cc1,,,CHEMBL1136470,Bioorg Med Chem Lett,2003,,CHEMBL334446,,CHEMBL334446,,0,http://www.openphacts.org/units/Nanomolar,261100,>,1,1,>,,IC50,nM,,50000.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,50.0
,,37198,[],CHEMBL763559,Concentration required for maximal in vitro inhibition of aggregation of human platelet rich plasma (hPRP),F,,,BAO_0000190,BAO_0000218,organism-based format,CCNC(=N)c1ccc(C2=NO[C@@H](CC(=O)NC[C@H](NS(=O)(=O)c3cccc(C)c3)C(=O)O)C2)cc1,,,CHEMBL1133917,Bioorg Med Chem Lett,2001,,CHEMBL304394,,CHEMBL304394,7.29,0,http://www.openphacts.org/units/Nanomolar,123894,=,1,1,=,,IC50,nM,,51.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.051
,,37215,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CCC2CCCCC2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203052,,CHEMBL110806,10.14,0,http://www.openphacts.org/units/Nanomolar,208519,=,1,1,=,,IC50,nM,,0.072,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.072
,,37217,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(c2ncccn2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203056,,CHEMBL323187,9.49,0,http://www.openphacts.org/units/Nanomolar,208523,=,1,1,=,,IC50,nM,,0.32,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.32
,,37219,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.O=S(=O)(CCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCNCC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203070,,CHEMBL112885,7.83,0,http://www.openphacts.org/units/Nanomolar,208577,=,1,1,=,,IC50,nM,,14.78,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,14.78
,,37221,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.Oc1nc2cc3cc(OCCCCc4nnnn4C4CCN(CC5CCCCC5)CC4)ccc3[nH]c-2n1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203055,,CHEMBL109599,10.7,0,http://www.openphacts.org/units/Nanomolar,208547,=,1,1,=,,IC50,nM,,0.02,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.02
,,37229,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,Fc1ccc(CC(Nc2nc3cc(Cl)ccc3o2)c2ccccn2)cc1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL367543,,CHEMBL367543,7.7,0,http://www.openphacts.org/units/Nanomolar,341232,=,1,1,=,,IC50,nM,,20.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.02
,,38451,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(CC2CCCCO2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203021,,CHEMBL321475,10.47,0,http://www.openphacts.org/units/Nanomolar,208532,=,1,1,=,,IC50,nM,,0.034,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.034
,,38454,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.O=S(=O)(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)C1CCN(Cc2ccc(F)cc2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203084,,CHEMBL325151,10.7,0,http://www.openphacts.org/units/Nanomolar,208529,=,1,1,=,,IC50,nM,,0.02,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.02
,,38460,[],CHEMBL763979,Inhibition of human platelet aggregation induced by ADP after 3 min incubation with platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(Cc2ccccc2)CC1,,,CHEMBL1126868,J Med Chem,1993,,CHEMBL1203083,,CHEMBL113607,9.51,0,http://www.openphacts.org/units/Nanomolar,208528,=,1,1,=,,IC50,nM,,0.31,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,nM,UO_0000065,,0.31
,,38473,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,CCOC(=O)C(Cc1ccccc1)Nc1nc2ccccc2s1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL170418,,CHEMBL170418,6.44,0,http://www.openphacts.org/units/Nanomolar,341170,=,1,1,=,,IC50,nM,,360.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.36
,,38475,[],CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,F,,,BAO_0000190,BAO_0000218,organism-based format,CCOC(=O)C(Cc1ccc(Br)cc1)Nc1nc2ccccc2s1,,,CHEMBL1127687,J Med Chem,1994,,CHEMBL172044,,CHEMBL172044,6.82,0,http://www.openphacts.org/units/Nanomolar,341247,=,1,1,=,,IC50,nM,,150.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,0.15
