activity_id,assay_chembl_id,assay_description,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,type,units,uo_units,value
60207,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(C(F)(F)F)cc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL42085,,CHEMBL42085,7.1,69573,=,1,1,=,,IC50,nM,80.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.08
61096,CHEMBL769655,Tested in vitro for inhibition against Prostaglandin G/H synthase 2 in human blood (95% confidence limits),Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1,,,CHEMBL1133534,J Med Chem,2000.0,CHEMBL143776,,CHEMBL143776,10.1,273418,=,1,1,=,,IC50,nM,0.08,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,nM,UO_0000065,0.08
62847,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,Cc1c(Cl)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL44283,,CHEMBL44283,7.3,69597,=,1,1,=,,IC50,nM,50.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.05
62849,CHEMBL762912,In vitro inhibitory activity against human prostaglandin G/H synthase 2,Cc1c(CC(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,,,CHEMBL1130038,J Med Chem,1997.0,CHEMBL44038,,CHEMBL44038,6.85,69590,=,1,1,=,,IC50,nM,140.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.14
72203,CHEMBL763346,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,,,CHEMBL1129773,Bioorg Med Chem Lett,1996.0,CHEMBL91832,,CHEMBL91832,8.3,164541,=,1,1,=,,IC50,nM,5.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.005
73210,CHEMBL763346,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,,,CHEMBL1129773,Bioorg Med Chem Lett,1996.0,CHEMBL91118,,CHEMBL91118,8.92,164546,=,1,1,=,,IC50,nM,1.2,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.0012
74268,CHEMBL763346,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C,,,CHEMBL1129773,Bioorg Med Chem Lett,1996.0,CHEMBL92443,,CHEMBL92443,8.66,164540,=,1,1,=,,IC50,nM,2.2,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.0022
82153,CHEMBL763346,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C2)cc1,,,CHEMBL1129773,Bioorg Med Chem Lett,1996.0,CHEMBL328003,,CHEMBL328003,6.96,164545,=,1,1,=,,IC50,nM,110.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.11
82156,CHEMBL763346,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,,,CHEMBL1129773,Bioorg Med Chem Lett,1996.0,CHEMBL420987,,CHEMBL420987,8.55,164543,=,1,1,=,,IC50,nM,2.8,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.0028
83188,CHEMBL763346,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)/C1=N/O,,,CHEMBL1129773,Bioorg Med Chem Lett,1996.0,CHEMBL330516,,CHEMBL330516,7.21,164539,=,1,1,=,,IC50,nM,61.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.061
83193,CHEMBL763346,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,,,CHEMBL1129773,Bioorg Med Chem Lett,1996.0,CHEMBL42485,DUP-697,CHEMBL42485,8.68,164535,=,1,1,=,,IC50,nM,2.1,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.0021
84676,CHEMBL766726,Inhibition of PGE-2 generation in LPS-stimulated human monocytes (Prostaglandin G/H synthase 2 cell assay),COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,,,CHEMBL1136052,J Med Chem,2002.0,CHEMBL6,INDOMETHACIN,CHEMBL6,8.23,47015,=,1,1,=,,IC50,nM,5.9,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.0059
85227,CHEMBL763346,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,,,CHEMBL1129773,Bioorg Med Chem Lett,1996.0,CHEMBL92154,,CHEMBL92154,8.96,164544,=,1,1,=,,IC50,nM,1.1,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.0011
86658,CHEMBL766726,Inhibition of PGE-2 generation in LPS-stimulated human monocytes (Prostaglandin G/H synthase 2 cell assay),Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,,,CHEMBL1136052,J Med Chem,2002.0,CHEMBL118,CELECOXIB,CHEMBL118,6.92,47014,=,1,1,=,,IC50,nM,120.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.12
96174,CHEMBL763346,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,CC1(C)C(=O)C(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,,,CHEMBL1129773,Bioorg Med Chem Lett,1996.0,CHEMBL92485,,CHEMBL92485,7.02,164542,=,1,1,=,,IC50,nM,96.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.096
98311,CHEMBL763346,Inhibition of PGE-2 production by arachidonic acid-stimulated CHO cells expressing human Prostaglandin G/H synthase 2,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C23CCCC3)cc1,,,CHEMBL1129773,Bioorg Med Chem Lett,1996.0,CHEMBL90988,,CHEMBL90988,7.92,164537,=,1,1,=,,IC50,nM,12.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.012
105473,CHEMBL768959,Inhibitory activity against human prostaglandin G/H synthase 2 in ECV-304 cells measured by the presence of PGE-2,COc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1,,,CHEMBL1133431,Bioorg Med Chem Lett,2000.0,CHEMBL347187,,CHEMBL347187,6.89,305348,=,1,1,=,,IC50,nM,130.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.13
105819,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CCC2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL274893,SC-57666,CHEMBL274893,7.59,206570,=,1,1,=,,IC50,nM,25.7,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.59
105821,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1F,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL54649,,CHEMBL54649,7.68,206532,=,1,1,=,,IC50,nM,20.89,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.68
105822,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,CN(C)c1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL52872,,CHEMBL52872,8.22,206653,=,1,1,=,,IC50,nM,6.026,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,8.22
105824,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)s2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL29472,,CHEMBL29472,7.92,206523,=,1,1,=,,IC50,nM,12.02,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.92
105825,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,NS(=O)(=O)c1ccc(C2=C(c3ccc(OC(F)(F)F)cc3)CC3(CC3)C2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL88649,,CHEMBL88649,6.89,206504,=,1,1,=,,IC50,nM,128.82,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,6.89
105851,CHEMBL762914,In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2) in 143982 cells,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,,,CHEMBL1145864,J Med Chem,2003.0,CHEMBL324509,,CHEMBL324509,8.4,220584,=,1,1,=,,IC50,nM,4.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.004
106944,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,CN(C)c1c(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL43553,,CHEMBL43553,6.85,206478,=,1,1,=,,IC50,nM,141.25,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,6.85
106948,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,Cc1ccncc1-c1cc(F)c(F)cc1-c1ccc(S(C)(=O)=O)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL110612,,CHEMBL110612,6.77,206650,=,1,1,=,,IC50,nM,169.82,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,6.77
106949,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL29839,,CHEMBL29839,8.1,206640,=,1,1,=,,IC50,nM,7.943,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,8.1
106950,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,CN(C)c1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL28881,,CHEMBL28881,8.33,206636,=,1,1,=,,IC50,nM,4.677,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,8.33
106951,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,Cc1c(C(F)(F)F)nn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccc(Cl)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL29133,,CHEMBL29133,7.66,206610,=,1,1,=,,IC50,nM,21.88,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.66
106952,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL274990,SC-58125,CHEMBL274990,7.0,206524,=,1,1,=,,IC50,nM,100.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.0
106997,CHEMBL762914,In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2) in 143982 cells,Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,,,CHEMBL1145864,J Med Chem,2003.0,CHEMBL331148,,CHEMBL331148,7.8,220586,=,1,1,=,,IC50,nM,16.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.016
107015,CHEMBL762914,In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2) in 143982 cells,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(N)cc2)cc1,,,CHEMBL1145864,J Med Chem,2003.0,CHEMBL117708,,CHEMBL117708,6.73,220629,=,1,1,=,,IC50,nM,187.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.187
107959,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL111562,,CHEMBL111562,8.7,206731,=,1,1,=,,IC50,nM,1.995,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,8.7
108060,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL42561,,CHEMBL42561,6.8,206435,=,1,1,=,,IC50,nM,158.49,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,6.8
108063,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,CC1(C)CC(c2ccc(Cl)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL320784,,CHEMBL320784,8.15,206561,=,1,1,=,,IC50,nM,7.079,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,8.15
108064,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CCC2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL322949,,CHEMBL322949,7.52,206557,=,1,1,=,,IC50,nM,30.2,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.52
108065,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,Cc1ccc(-c2c(C#N)cnn2-c2ccc(S(N)(=O)=O)cc2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL28528,,CHEMBL28528,7.12,206612,=,1,1,=,,IC50,nM,75.86,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.12
108066,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,Cc1cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc2c1OCO2,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL29403,,CHEMBL29403,7.28,206514,=,1,1,=,,IC50,nM,52.48,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.28
108067,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CC3(CC3)C2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL314225,,CHEMBL314225,8.52,206495,=,1,1,=,,IC50,nM,3.02,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,8.52
108073,CHEMBL762914,In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2) in 143982 cells,Cc1ncc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,,,CHEMBL1145864,J Med Chem,2003.0,CHEMBL116343,,CHEMBL116343,7.29,220575,=,1,1,=,,IC50,nM,51.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.051
109301,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL46712,,CHEMBL46712,7.22,206449,=,1,1,=,,IC50,nM,60.26,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.22
109303,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL42398,,CHEMBL42398,7.52,206704,=,1,1,=,,IC50,nM,30.2,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.52
109305,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL54370,,CHEMBL54370,8.4,206657,=,1,1,=,,IC50,nM,3.981,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,8.4
109306,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)c(Cl)c2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL29717,,CHEMBL29717,7.82,206622,=,1,1,=,,IC50,nM,15.14,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.82
109307,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2Cl)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL281978,,CHEMBL281978,7.25,206621,=,1,1,=,,IC50,nM,56.23,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.25
109308,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,NS(=O)(=O)c1ccc(-n2ncc(Cl)c2-c2ccccc2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL282301,,CHEMBL282301,7.31,206614,=,1,1,=,,IC50,nM,48.98,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.31
109309,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,NS(=O)(=O)c1ccc(-n2nc(CF)cc2-c2ccccc2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL285335,,CHEMBL285335,6.7,206605,=,1,1,=,,IC50,nM,199.53,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,6.7
109310,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(c2)CCC3)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL29500,,CHEMBL29500,7.51,206517,=,1,1,=,,IC50,nM,30.9,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,7.51
109311,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1F,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL88550,,CHEMBL88550,8.0,206503,=,1,1,=,,IC50,nM,10.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,8.0
109323,CHEMBL762914,In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2) in 143982 cells,CS(=O)(=O)c1ccc(-n2cnc(Br)c2-c2ccc(F)cc2)cc1,,,CHEMBL1145864,J Med Chem,2003.0,CHEMBL326577,,CHEMBL326577,7.44,220559,=,1,1,=,,IC50,nM,36.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.036
109331,CHEMBL762914,In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2) in 143982 cells,Cc1ncn(-c2ccc(S(C)(=O)=O)cc2)c1-c1ccc(F)cc1,,,CHEMBL1145864,J Med Chem,2003.0,CHEMBL324957,,CHEMBL324957,6.84,220555,=,1,1,=,,IC50,nM,144.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.144
109339,CHEMBL762914,In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2) in 143982 cells,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)c(F)c1,,,CHEMBL1145864,J Med Chem,2003.0,CHEMBL117528,,CHEMBL117528,7.82,220625,=,1,1,=,,IC50,nM,15.0,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.015
110465,CHEMBL763870,Inhibition of human Prostaglandin G/H synthase 2,NS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)c(F)c3)CCC2)cc1,,,CHEMBL1134614,J Med Chem,2001.0,CHEMBL110846,,CHEMBL110846,6.77,206733,=,1,1,=,,IC50,nM,169.82,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,6.77
